# film2.txt - 50 films (30 MOVIE + 20 SERIES)
# Format:
# MOVIE|code|name|stars|score10|releaseDate(yyyy-MM-dd)|genre|age|country|duration(HH:mm[:ss])
# SERIES|code|name|stars|score10|releaseDate|genre|age|country|episodes=n,date,score,duration; ...

MOVIE|M101|Scarlet Road|4.1|7.20|2018-03-12|HANH_DONG|13|HOA_KY|02:01:00
MOVIE|M102|Autumn Letters|4.0|7.10|2020-02-14|TINH_CAM|10|VIET_NAM|01:42:00
MOVIE|M103|Nebula Drift|4.6|8.10|2021-11-05|VIEN_TUONG|12|ANH|02:15:00
MOVIE|M104|Whispering Pines|3.9|6.80|2015-09-22|PHIEU_LUU|7|PHAP|01:55:00
MOVIE|M105|Laugh Out Loud|4.2|7.30|2017-06-01|HAI_HUOC|0|HOA_KY|01:38:00
MOVIE|M106|Shadows at Dawn|4.1|7.00|2014-10-31|KINH_DI|16|HAN_QUOC|01:49:00
MOVIE|M107|Tide Chaser|4.3|7.60|2019-08-10|KHAM_PHA|6|DUC|02:05:00
MOVIE|M108|Steel Horizon|4.5|7.90|2013-04-18|BAO_LUC|18|HOA_KY|02:10:00
MOVIE|M109|Mindscape|4.4|7.80|2012-12-07|TAM_LY|15|ANH|02:00:00
MOVIE|M110|Neon Tokyo|4.7|8.40|2022-04-09|ANIME|7|NHAT_BAN|01:50:00
MOVIE|M111|Sandstorm Riders|4.0|7.00|2011-01-21|PHIEU_LUU|12|HOA_KY|02:03:00
MOVIE|M112|Chef’s Journey|3.8|6.70|2016-05-20|KHAC|0|PHAP|01:35:00
MOVIE|M113|Crimson Current|4.2|7.40|2018-07-04|GIAT_GAN|13|HOA_KY|02:12:00
MOVIE|M114|Subway Pursuit|4.3|7.55|2019-03-15|HANH_DONG|13|ANH|01:59:00
MOVIE|M115|Song of Peaks|3.9|6.90|2015-11-12|TINH_CAM|10|Y|01:47:00
MOVIE|M116|Binary Aurora|4.6|8.05|2020-08-21|VIEN_TUONG|12|DUC|02:18:00
MOVIE|M117|Jungle Echo|4.1|7.10|2014-07-18|PHIEU_LUU|12|INDIA|02:07:00
MOVIE|M118|Snowfall Diaries|4.0|7.00|2013-12-20|TAM_LY|10|ANH|01:44:00
MOVIE|M119|Scar of Jade|4.2|7.45|2016-01-08|BAO_LUC|18|TRUNG_QUOC|02:06:00
MOVIE|M120|Blue Meridian|4.5|7.95|2021-06-25|KHAM_PHA|6|TAY_BAN_NHA|02:02:00
MOVIE|M121|Comic Break|3.7|6.50|2012-03-09|HAI_HUOC|0|HOA_KY|01:33:00
MOVIE|M122|Night Bazaar|4.2|7.35|2017-09-09|TINH_CAM|10|VIET_NAM|01:41:00
MOVIE|M123|Code Velocity|4.4|7.85|2018-10-05|VIEN_TUONG|12|ANH|02:11:00
MOVIE|M124|Lotus Whisper|4.1|7.20|2015-04-30|TAM_LY|10|VIET_NAM|01:52:00
MOVIE|M125|Iron Oath|4.3|7.60|2019-05-03|HANH_DONG|16|HOA_KY|02:09:00
MOVIE|M126|Sunny Hours|3.8|6.80|2014-06-06|HAI_HUOC|0|PHAP|01:36:00
MOVIE|M127|Silent Crossroads|4.0|7.10|2016-10-21|GIAT_GAN|15|ANH|01:58:00
MOVIE|M128|Paper Lantern|4.6|8.10|2022-03-03|ANIME|7|NHAT_BAN|01:48:00
MOVIE|M129|Golden Pitch|3.9|6.90|2013-08-16|KHAC|0|DUC|01:45:00
MOVIE|M130|Velvet Echo|4.2|7.50|2020-01-10|TAM_LY|16|Y|02:00:00

SERIES|S201|Cyber Quarter|4.5|8.10|2018-04-12|VIEN_TUONG|13|ANH|episodes=1,2018-04-12,8.10,00:50:00; 2,2018-04-19,8.20,00:49:00; 3,2018-04-26,8.15,00:51:00
SERIES|S202|Hanoi Tales|4.2|7.60|2019-09-01|TAM_LY|10|VIET_NAM|episodes=1,2019-09-01,7.50,00:42:00; 2,2019-09-08,7.60,00:44:00; 3,2019-09-15,7.70,00:43:00
SERIES|S203|Shadow Avenue|4.1|7.30|2016-02-20|GIAT_GAN|15|HOA_KY|episodes=1,2016-02-20,7.20,00:48:00; 2,2016-02-27,7.30,00:49:00; 3,2016-03-05,7.40,00:47:00
SERIES|S204|Dragon’s Crest|4.3|7.80|2015-05-10|PHIEU_LUU|12|TRUNG_QUOC|episodes=1,2015-05-10,7.60,00:45:00; 2,2015-05-17,7.70,00:46:00; 3,2015-05-24,7.80,00:45:00
SERIES|S205|Harbor Days|3.9|6.90|2014-09-18|HAI_HUOC|0|ANH|episodes=1,2014-09-18,6.80,00:24:00; 2,2014-09-25,6.90,00:24:00; 3,2014-10-02,7.00,00:24:00
SERIES|S206|Samurai Path|4.6|8.20|2020-07-07|ANIME|7|NHAT_BAN|episodes=1,2020-07-07,8.10,00:23:00; 2,2020-07-14,8.20,00:23:00; 3,2020-07-21,8.30,00:23:00; 4,2020-07-28,8.25,00:23:00
SERIES|S207|Castle of Ice|4.0|7.10|2013-01-12|KHAM_PHA|6|DUC|episodes=1,2013-01-12,7.00,00:41:00; 2,2013-01-19,7.10,00:41:00
SERIES|S208|Midnight Tram|4.1|7.40|2017-11-03|TAM_LY|13|PHAP|episodes=1,2017-11-03,7.30,00:46:00; 2,2017-11-10,7.40,00:46:00; 3,2017-11-17,7.50,00:46:00
SERIES|S209|Jungle Diaries|4.2|7.60|2018-08-14|KHAM_PHA|6|INDIA|episodes=1,2018-08-14,7.50,00:40:00; 2,2018-08-21,7.60,00:40:00; 3,2018-08-28,7.55,00:40:00
SERIES|S210|Campus Blues|3.8|6.80|2012-09-05|HAI_HUOC|0|HOA_KY|episodes=1,2012-09-05,6.70,00:22:00; 2,2012-09-12,6.80,00:22:00; 3,2012-09-19,6.90,00:22:00
SERIES|S211|City Tracker|4.4|7.90|2011-06-01|HANH_DONG|16|HAN_QUOC|episodes=1,2011-06-01,7.80,01:00:00; 2,2011-06-08,7.90,00:59:00; 3,2011-06-15,8.00,01:02:00
SERIES|S212|Old Streets|4.0|7.00|2016-04-09|TINH_CAM|10|VIET_NAM|episodes=1,2016-04-09,6.90,00:44:00; 2,2016-04-16,7.00,00:45:00; 3,2016-04-23,7.10,00:44:00
SERIES|S213|Alpine Track|4.1|7.20|2015-12-01|PHIEU_LUU|7|DUC|episodes=1,2015-12-01,7.10,00:43:00; 2,2015-12-08,7.20,00:43:00
SERIES|S214|Mask of Crimson|4.2|7.50|2019-10-20|GIAT_GAN|15|ANH|episodes=1,2019-10-20,7.40,00:49:00; 2,2019-10-27,7.50,00:50:00; 3,2019-11-03,7.60,00:50:00
SERIES|S215|Mystic Creek|4.3|7.70|2013-03-14|KINH_DI|18|HOA_KY|episodes=1,2013-03-14,7.60,00:52:00; 2,2013-03-21,7.70,00:51:00; 3,2013-03-28,7.80,00:53:00
SERIES|S216|Napoli Stories|3.9|6.90|2014-05-11|TAM_LY|12|Y|episodes=1,2014-05-11,6.80,00:45:00; 2,2014-05-18,6.90,00:46:00
SERIES|S217|Iberian Trails|4.0|7.10|2017-02-02|PHIEU_LUU|10|TAY_BAN_NHA|episodes=1,2017-02-02,7.00,00:44:00; 2,2017-02-09,7.10,00:44:00; 3,2017-02-16,7.20,00:44:00
SERIES|S218|Desert Notes|4.1|7.30|2021-09-09|KHAM_PHA|6|INDIA|episodes=1,2021-09-09,7.20,00:39:00; 2,2021-09-16,7.30,00:39:00; 3,2021-09-23,7.35,00:39:00
